,model,epoch,factor,train_loss,test_loss,HR@10,NDCG@10
0,GMF,0,8,0.5564105629920959,0.23281156163638,0.3826158940397351,0.17242509866561975
1,GMF,1,8,0.3582905888557434,0.2362153670349658,0.4304635761589404,0.19753914182010748
2,GMF,2,8,0.31550957560539244,0.22312591789993427,0.48956953642384105,0.22285459890661236
3,GMF,3,8,0.29434365034103394,0.20828011901247384,0.5178807947019868,0.23639590116836395
4,GMF,4,8,0.2770725041627884,0.2173524440099664,0.5332781456953642,0.2417703759743111
5,GMF,5,8,0.2649924337863922,0.2145856887780574,0.5355960264900662,0.2422220977548683
6,GMF,6,8,0.27978811860084535,0.1973878900896733,0.5392384105960265,0.24437074025049643
7,GMF,7,8,0.27502801418304446,0.2091639384238777,0.5488410596026491,0.24914072856561426
8,GMF,8,8,0.2798698902130127,0.19871125262390996,0.5461920529801324,0.24669698584487484
9,GMF,9,8,0.2732429921627045,0.1996609999681052,0.5443708609271524,0.24576509825403883
10,GMF,0,16,0.49647884368896483,0.23050316620050676,0.39536423841059604,0.1791304805533119
11,GMF,1,16,0.34906200170516966,0.22727886948931889,0.4471854304635762,0.20380868028846033
12,GMF,2,16,0.32065701484680176,0.2116480494164769,0.4872516556291391,0.22233272251823902
13,GMF,3,16,0.2884013295173645,0.21420285357470742,0.5294701986754967,0.24150035811186027
14,GMF,4,16,0.26605353951454164,0.20653473017860624,0.5451986754966888,0.24922173373513168
15,GMF,5,16,0.24947836995124817,0.21011325547545656,0.5572847682119205,0.25445368910263294
16,GMF,6,16,0.24563938081264497,0.2045506626589606,0.5591059602649007,0.25362630547426396
17,GMF,7,16,0.24464507400989532,0.20808039707292045,0.5665562913907285,0.2592625799218167
18,GMF,8,16,0.26015390157699586,0.20246345374350813,0.5710264900662252,0.2586056738966308
19,GMF,9,16,0.2516592860221863,0.20734655697589482,0.5736754966887417,0.26101389662241603
20,GMF,0,32,0.4848561942577362,0.23372663451445025,0.39850993377483446,0.18167911040694312
21,GMF,1,32,0.3312166690826416,0.21886112937296662,0.4860927152317881,0.22124223480844357
22,GMF,2,32,0.2759187281131744,0.20874794263528376,0.5367549668874172,0.2424375940507743
23,GMF,3,32,0.2609577476978302,0.21371747820841655,0.5496688741721855,0.24875024891703743
24,GMF,4,32,0.2549506962299347,0.21898549174618542,0.5587748344370861,0.2531732350678249
25,GMF,5,32,0.2298477441072464,0.2142939744310589,0.5604304635761589,0.25430097449116523
26,GMF,6,32,0.23008154332637787,0.22176596631006096,0.5579470198675497,0.25463527652430246
27,GMF,7,32,0.23018687069416047,0.22379746755603577,0.5655629139072847,0.2555513566401899
28,GMF,8,32,0.2353801667690277,0.22193913052740524,0.5645695364238411,0.2567691465697423
29,GMF,9,32,0.21856789588928222,0.23453770548703506,0.5554635761589404,0.252614842297541
30,GMF,0,64,0.48349360227584837,0.23850944034557864,0.3920529801324503,0.17835004204887348
31,GMF,1,64,0.3379566729068756,0.2151380647245227,0.4822847682119205,0.2185977918038965
32,GMF,2,64,0.27403066754341127,0.20874689393152562,0.5324503311258278,0.24219434408180476
33,GMF,3,64,0.24787314236164093,0.22024853820234094,0.544205298013245,0.24621466387147617
34,GMF,4,64,0.22062412798404693,0.22445990343991395,0.5357615894039736,0.2435278413246793
35,GMF,5,64,0.21735526323318483,0.2438160406043198,0.5314569536423841,0.24207760315229696
36,GMF,6,64,0.20247119069099426,0.25532660007828367,0.5220198675496689,0.2380856670754529
37,GMF,7,64,0.19932751059532167,0.2559111879429231,0.5241721854304636,0.23727024237164668
38,GMF,8,64,0.17871856987476348,0.26551963815107843,0.5248344370860927,0.2368530638836438
39,GMF,9,64,0.18090174794197084,0.27737310236067025,0.5140728476821192,0.23430444374743412
40,MLP,0,8,0.4265936553478241,0.229694333502295,0.4008278145695364,0.18034060054002443
41,MLP,1,8,0.3415951430797577,0.207310270696311,0.4359271523178808,0.1984057877572226
42,MLP,2,8,0.3126116514205933,0.21328203119584266,0.46241721854304635,0.20999277765648372
43,MLP,3,8,0.3116776943206787,0.18751158888161873,0.4867549668874172,0.22110143513182107
44,MLP,4,8,0.3045767068862915,0.19707777714295102,0.4943708609271523,0.2241073771164581
45,MLP,5,8,0.29057469964027405,0.21375493488416372,0.506953642384106,0.22947191632410538
46,MLP,6,8,0.28744460344314576,0.21517132687696952,0.5183774834437086,0.23562419184944094
47,MLP,7,8,0.28432816863059995,0.20753029389121871,0.5220198675496689,0.23669096541014426
48,MLP,8,8,0.2857973754405975,0.21172555091772352,0.5248344370860927,0.23721152946094443
49,MLP,9,8,0.2666053414344788,0.2154985286400265,0.5228476821192053,0.23624645169003644
50,MLP,0,16,0.4461995840072632,0.2026173619319074,0.41341059602649005,0.1884383900875511
51,MLP,1,16,0.33090325593948366,0.2009119062036868,0.4740066225165563,0.2146785472353406
52,MLP,2,16,0.30600487589836123,0.17471901901461037,0.48774834437086095,0.2214083770275968
53,MLP,3,16,0.29123900532722474,0.22551176675182108,0.5109271523178808,0.23202830999825297
54,MLP,4,16,0.29156418442726134,0.20779962105621022,0.526158940397351,0.24109679505877654
55,MLP,5,16,0.25999744832515714,0.1849163509251562,0.5395695364238411,0.2441593393856451
56,MLP,6,16,0.27592703700065613,0.20627391848447948,0.5385761589403973,0.2449788006933583
57,MLP,7,16,0.27111883759498595,0.21097045755846464,0.5379139072847682,0.24560462849510886
58,MLP,8,16,0.2638873130083084,0.2066283140652227,0.5528145695364238,0.25113797264318855
59,MLP,9,16,0.25455095171928405,0.2289609415900727,0.5513245033112583,0.25075001222135673
60,MLP,0,32,0.44035978317260743,0.24491006417187633,0.4248344370860927,0.19292872811066256
61,MLP,1,32,0.31931290626525877,0.20579926222069375,0.49337748344370863,0.22326215591143592
62,MLP,2,32,0.28864742517471315,0.21628606255160066,0.5163907284768212,0.23537527256115362
63,MLP,3,32,0.27569530010223386,0.2130030759295683,0.5309602649006623,0.24160305597031353
64,MLP,4,32,0.25755374133586884,0.22487995304315295,0.5493377483443709,0.2503978642491342
65,MLP,5,32,0.2442568153142929,0.19286609613768363,0.5503311258278145,0.24990524289527372
66,MLP,6,32,0.24747035205364226,0.20965212005875167,0.5581125827814569,0.25350437766348516
67,MLP,7,32,0.2379551500082016,0.20403638356766163,0.5624172185430464,0.2565667996195526
68,MLP,8,32,0.2334332823753357,0.23050904758490426,0.5625827814569536,0.25459417430574177
69,MLP,9,32,0.2413114309310913,0.20963816517186876,0.5605960264900662,0.2554777818195483
70,MLP,0,64,0.4343725383281708,0.22138686936521373,0.42764900662251654,0.19468849734927368
71,MLP,1,64,0.31828332543373106,0.19359277460773458,0.49635761589403976,0.22567002910350326
72,MLP,2,64,0.27127052545547486,0.18454651064023572,0.5256622516556292,0.23886373807041078
73,MLP,3,64,0.26201345920562746,0.19802340855698614,0.5485099337748345,0.2507036959757909
74,MLP,4,64,0.2699322015047073,0.18578295761484973,0.5473509933774835,0.24946778580803217
75,MLP,5,64,0.25251404047012327,0.21198058096007352,0.5564569536423841,0.2551880512392299
76,MLP,6,64,0.2514545559883118,0.2253852582555141,0.5552980132450331,0.2550949504467036
77,MLP,7,64,0.23745285868644714,0.2339360260475575,0.5604304635761589,0.2556882050090928
78,MLP,8,64,0.23982448875904083,0.24331617510155928,0.5620860927152318,0.2558316587259801
79,MLP,9,64,0.22291098535060883,0.2100228444017803,0.5561258278145695,0.25250603573139546
80,NMF,0,8,0.5703805983066559,0.3006886947172268,0.5347682119205298,0.24337054274088477
81,NMF,1,8,0.2864813029766083,0.26467164605609234,0.5399006622516557,0.24452252139251618
82,NMF,2,8,0.29180817008018495,0.24776215480381486,0.541887417218543,0.2448275825958068
83,NMF,3,8,0.27671504616737364,0.23794248828738435,0.5437086092715232,0.245542193948046
84,NMF,4,8,0.2610102117061615,0.23140831961117636,0.5438741721854304,0.24606628430191138
85,NMF,5,8,0.26409833431243895,0.22664042219877342,0.5428807947019868,0.24590430367165989
86,NMF,6,8,0.26718632578849794,0.22323030921575052,0.5435430463576159,0.24635721144069453
87,NMF,7,8,0.27155335545539855,0.2205086933609271,0.5447019867549668,0.24679184806816482
88,NMF,8,8,0.25568217039108276,0.21834169947203028,0.5447019867549668,0.24672782145670227
89,NMF,9,8,0.26063807904720304,0.21686098159272346,0.5443708609271524,0.2465485849578103
90,NMF,0,16,0.3586647093296051,0.31128573060060377,0.5649006622516556,0.25717267932814836
91,NMF,1,16,0.2683428078889847,0.27798301090073113,0.572682119205298,0.2589627680031689
92,NMF,2,16,0.24704722464084625,0.2644172391909736,0.5754966887417219,0.2613973387987601
93,NMF,3,16,0.23541838824748992,0.25735366324283526,0.5743377483443709,0.26054045565676465
94,NMF,4,16,0.2359836906194687,0.2527407650730961,0.572682119205298,0.2599619546686597
95,NMF,5,16,0.24921428859233857,0.24936248728549046,0.5731788079470199,0.2605088628611847
96,NMF,6,16,0.24784154295921326,0.24659382344365416,0.5748344370860927,0.26092049916150056
97,NMF,7,16,0.22385278940200806,0.24400379480177303,0.5745033112582781,0.2610276385394975
98,NMF,8,16,0.23303100764751433,0.2420019300130276,0.575,0.261283402536314
99,NMF,9,16,0.23435384333133696,0.2398807134485452,0.5748344370860927,0.26124293690214634
100,NMF,0,32,0.5605095744132995,0.40958544970890937,0.47052980132450334,0.21411219323915376
101,NMF,1,32,0.33994872570037843,0.37468910355688323,0.5076158940397351,0.23181176058349393
102,NMF,2,32,0.31223050951957704,0.35508722015193955,0.5281456953642384,0.24115033762983754
103,NMF,3,32,0.28984181880950927,0.34090667979804096,0.5445364238410596,0.24871935277752552
104,NMF,4,32,0.27518855333328246,0.3299348697127984,0.553476821192053,0.2523200497272556
105,NMF,5,32,0.2691332221031189,0.32118666624983416,0.5596026490066225,0.2556640482163598
106,NMF,6,32,0.2584995746612549,0.31417038151870996,0.5644039735099338,0.2580545563948739
107,NMF,7,32,0.2507996469736099,0.30848818943829626,0.5665562913907285,0.2592018656891751
108,NMF,8,32,0.2544452279806137,0.30396199747488295,0.5658940397350993,0.258953212099893
109,NMF,9,32,0.24675295352935792,0.30035673481110015,0.5683774834437086,0.25967847191532406
110,NMF,0,64,0.4609533965587616,0.3559868199664433,0.45165562913907287,0.20780667559893856
111,NMF,1,64,0.31497507095336913,0.3289296991136295,0.5036423841059603,0.23001669670625646
112,NMF,2,64,0.26213022470474245,0.3180031830506609,0.5216887417218543,0.23815684692521447
113,NMF,3,64,0.24823689758777617,0.3125464242778176,0.5337748344370861,0.24338358947158467
114,NMF,4,64,0.22880759239196777,0.3098378467675767,0.5392384105960265,0.2463041987023425
115,NMF,5,64,0.21973851025104524,0.30880307731224804,0.5377483443708609,0.24528315251798982
116,NMF,6,64,0.22608035206794738,0.3088129964108203,0.5385761589403973,0.24647116848368325
117,NMF,7,64,0.20933733582496644,0.3095250409127318,0.5392384105960265,0.24654241982011577
118,NMF,8,64,0.19794880747795104,0.31074862599261843,0.5395695364238411,0.24562170071476738
119,NMF,9,64,0.19641757607460023,0.3123625715398877,0.5384105960264901,0.24415568431503515
